Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product	Checked out by
979223..980902	+	559	15900911	-	SP_1040	-	COG1961L	resolvase family site-specific recombinase	
2123163..2124515	-	450	15902010	-	SP_2203	-	COG0305L	replicative DNA helicase	
929896..930378	-	160	15900860	-	SP_0985	-	COG2606S	regulatory protein	
1026283..1026924	-	213	15900958	-	SP_1090	-	COG2344R	redox-sensing transcriptional repressor Rex	
1816838..1817614	+	258	15901729	recX	SP_1902	-	COG2137R	recombination regulator RecX	
1572389..1572985	-	198	15901507	recR	SP_1672	-	COG0353L	recombination protein RecR	
2144824..2145921	+	365	15902031	recF	SP_2227	-	COG1195L	recombination protein F	
1705345..1706616	+	423	15901619	-	SP_1790	-	COG2256L	recombination factor protein RarA	
1843413..1844579	-	388	15901764	recA	SP_1940	-	COG0468L	recombinase A	
1959608..1960750	-	380	15901878	tgt	SP_2058	-	COG0343J	queuine tRNA-ribosyltransferase	
694862..696637	+	591	15900627	-	SP_0730	-	COG0028EH	pyruvate oxidase	
851337..852842	+	501	15900780	-	SP_0897	-	COG0469G	pyruvate kinase	
215094..215870	-	258	15900180	-	SP_0245	-	COG1180O	pyruvate formate-lyase-activating enzyme	
1880926..1881720	-	264	15901799	-	SP_1976	-	COG1180O	pyruvate formate-lyase-activating enzyme	
886557..887354	+	265	15900813	-	SP_0933	-	COG0345E	pyrroline-5-carboxylate reductase	
806774..807418	+	214	15900744	-	SP_0860	-	COG2039O	pyrrolidone-carboxylate peptidase	
1961765..1962409	-	214	15901880	-	SP_2060	-	COG2039O	pyrrolidone-carboxylate peptidase	
788997..790274	+	425	15900729	-	SP_0842	-	COG0213F	pyrimidine-nucleoside phosphorylase	
161162..162268	+	368	15900104	-	SP_0166	-	COG0019E	pyridoxal-dependent decarboxylase	
1380503..1381378	-	291	15901318	-	SP_1468	-	COG0214H	pyridoxal biosynthesis lyase PdxS	
1471173..1472138	+	321	15901406	-	SP_1563	-	COG0492O	pyridine nucleotide-disulfide oxidoreductase family protein	
1492958..1494274	+	438	15901430	-	SP_1588	-	COG1249C	pyridine nucleotide-disulfide oxidoreductase	
783653..784363	+	236	15900722	deoD	SP_0835	-	COG0813F	purine nucleoside phosphorylase	
780197..781006	+	269	15900718	-	SP_0831	-	COG0005F	purine nucleoside phosphorylase	
1883163..1883990	-	275	15901802	-	SP_1979	-	COG0503F	pur operon repressor	
1048988..1051267	+	759	15900985	-	SP_1118	-	COG1523G	pullulanase	
68135..68950	+	271	15900008	-	SP_0063	-	COG3716G	PTS system transporter subunit IID	
298167..298985	+	272	15900257	-	SP_0325	-	COG3716G	PTS system transporter subunit IID	
2079620..2080420	-	266	15901971	-	SP_2161	-	COG3716G	PTS system transporter subunit IID	
613572..615047	+	491	15900550	-	SP_0647	-	COG3775G	PTS system transporter subunit IIC	
67243..68148	+	301	15900007	-	SP_0062	-	COG3715G	PTS system transporter subunit IIC	
297401..298180	+	259	15900256	-	SP_0324	-	COG3715G	PTS system transporter subunit IIC	
2080417..2081190	-	257	15901972	-	SP_2162	-	COG3715G	PTS system transporter subunit IIC	
218593..219915	+	440	15900185	-	SP_0250	-	COG1455G	PTS system transporter subunit IIC	
1927876..1929171	+	431	15901843	-	SP_2022	-	COG1455G	PTS system transporter subunit IIC	
1518299..1519384	-	361	15901454	-	SP_1617	-	COG1299G	PTS system transporter subunit IIC	
1583620..1585137	-	505	15901519	-	SP_1684	-	COG1263G	PTS system transporter subunit IIBC	
66739..67215	+	158	15900006	-	SP_0061	-	COG3444G	PTS system transporter subunit IIB	
296895..297386	+	163	15900255	-	SP_0323	-	COG3444G	PTS system transporter subunit IIB	
2081215..2081685	-	156	15901973	-	SP_2163	-	COG3444G	PTS system transporter subunit IIB	
613219..613524	+	101	15900549	-	SP_0646	-	COG3414G	PTS system transporter subunit IIB	
1942990..1943271	-	93	15901858	-	SP_2037	-	COG3414G	PTS system transporter subunit IIB	
2041945..2042229	-	94	15901944	-	SP_2130	-	COG3414G	PTS system transporter subunit IIB	
1519410..1519736	-	108	15901455	-	SP_1618	-	COG1445G	PTS system transporter subunit IIB	
218292..218600	+	102	15900184	-	SP_0249	-	COG1440G	PTS system transporter subunit IIB	
1929176..1929484	+	102	15901844	-	SP_2023	-	COG1440G	PTS system transporter subunit IIB	
716713..718893	+	726	15900652	-	SP_0758	-	COG1263G	PTS system transporter subunit IIABC	
68957..69361	+	134	15900009	-	SP_0064	-	COG2893G	PTS system transporter subunit IIA	
295248..295682	+	144	15900253	-	SP_0321	-	COG2893G	PTS system transporter subunit IIA	
2081676..2082107	-	143	15901974	-	SP_2164	-	COG2893G	PTS system transporter subunit IIA	
280609..281106	+	165	15900240	-	SP_0307	-	COG1762GT	PTS system transporter subunit IIA	
612684..613181	+	165	15900548	-	SP_0645	-	COG1762GT	PTS system transporter subunit IIA	
1519749..1520198	-	149	15901456	-	SP_1619	-	COG1762GT	PTS system transporter subunit IIA	
1942428..1942913	-	161	15901857	-	SP_2036	-	COG1762GT	PTS system transporter subunit IIA	
217926..218246	+	106	15900183	-	SP_0248	-	COG1447G	PTS system transporter subunit IIA	
1929463..1929789	+	108	15901845	-	SP_2024	-	COG1447G	PTS system transporter subunit IIA	
1520176..1520604	-	142	15901457	-	SP_1620	-	COG1762GT	PTS system nitrogen regulatory IIA	
259919..260830	-	303	15900216	-	SP_0282	-	COG3716G	PTS system mannose-specific transporter subunit IID	
260854..261657	-	267	15900217	-	SP_0283	-	COG3715G	PTS system mannose-specific transporter subunit IIC	
261685..262683	-	332	15900218	-	SP_0284	-	COG3444G	PTS system mannose-specific transporter subunit IIAB	
1107462..1107836	-	124	15901038	-	SP_1173	-	COG3412S	PTS system mannnose-specific transporter subunit IIA	
372310..374079	+	589	15900314	-	SP_0394	-	COG2213G	PTS system mannitol-specific transporter subunit IIBC	
376060..376497	+	145	15900316	-	SP_0396	-	COG4668G	PTS system mannitol-specific transporter subunit IIA	
457343..459022	+	559	15900393	-	SP_0478	-	COG1455G	PTS system lactose-specific transporter subunit IIBC	
1122784..1124475	-	563	15901050	-	SP_1185	-	COG1455G	PTS system lactose-specific transporter subunit IIBC	
455508..455852	+	114	15900391	-	SP_0476	-	COG1447G	PTS system lactose-specific transporter subunit IIA	
1124475..1124792	-	105	15901051	-	SP_1186	-	COG1447G	PTS system lactose-specific transporter subunit IIA	
1625103..1626986	-	627	15901555	-	SP_1722	-	COG1263G	PTS system IIABC components	
824352..826304	+	650	15900760	-	SP_0877	-	COG1299G	PTS system fructose specific transporter subunit IIABC	
452130..453452	+	440	15900389	-	SP_0474	-	COG1455G	PTS system cellobiose-specific transporter subunit IIC	
278695..279009	+	104	15900238	celB	SP_0305	-	COG1440G	PTS system cellobiose transporter subunit IIB	
544021..545859	+	612	15900487	-	SP_0577	-	COG1263G	PTS system beta-glucosides-specific transporter subunit IIABC	
1943294..1944751	-	485	15901859	ulaA	SP_2038	-	COG3037S	PTS system ascorbate-specific transporter subunit IIC	
2040586..2041932	-	448	15901943	ulaA	SP_2129	-	COG3037S	PTS system ascorbate-specific transporter subunit IIC	
1291188..1292462	-	424	15901222	-	SP_1368	-	COG1316K	psr protein	
996190..997536	+	448	15900931	-	SP_1061	-	COG0515RTKL	protein kinase	
236246..238099	+	617	15900198	-	SP_0264	-	COG0442J	prolyl-tRNA synthetase	
1265638..1267578	-	646	15901197	-	SP_1343	-	COG1770E	prolyl oligopeptidase	
1331605..1332393	-	262	15901266	-	SP_1412	-	COG0682M	prolipoprotein diacylglyceryl transferase	
1496624..1497706	+	360	15901433	-	SP_1591	-	COG0006E	proline dipeptidase	
1639684..1642080	-	798	15901568	-	SP_1736	-	COG1198L	primosome assembly protein PriA	
1614785..1615681	-	298	15901545	-	SP_1711	-	COG1484L	primosomal protein DnaI	
1893835..1894395	-	186	15901813	-	SP_1990	-	COG1658L	primase-like protein	
298985..299278	+	97	15900258	-	SP_0326	-	COG1862U	preprotein translocase subunit YajC	
1934612..1934911	-	99	15901850	yajC	SP_2029	-	COG1862U	preprotein translocase subunit YajC	
203100..204410	+	436	15900166	secY	SP_0230	-	COG0201U	preprotein translocase subunit SecY	
1665552..1666769	-	405	15901594	secY	SP_1763	-	COG0201U	preprotein translocase subunit SecY	
919491..919724	+	77	15900851	secG	SP_0974	-	COG1314U	preprotein translocase subunit SecG	
1915326..1915502	-	58	15901831	secE	SP_2008	-	COG0690U	preprotein translocase subunit SecE	
1606632..1609145	-	837	15901536	secA	SP_1702	-	COG0653U	preprotein translocase subunit SecA	
1659641..1662013	-	790	15901590	-	SP_1759	-	COG0653U	preprotein translocase subunit SecA	
1295497..1296600	-	367	15901227	-	SP_1373	-	COG0287E	prephenate dehydrogenase	
1292459..1293307	-	282	15901223	-	SP_1369	-	COG0077E	prephenate dehydratase	
460591..461940	-	449	15900395	trkA	SP_0480	-	COG0569P	potassium transporter peripheral membrane protein	
330528..331769	+	413	15900285	-	SP_0356	-	COG2244R	polysaccharide transporter	
1204753..1206240	+	495	15901132	-	SP_1272	-	COG2244R	polysaccharide biosynthesis protein	
1439697..1441286	-	529	15901374	-	SP_1529	-	COG2244R	polysaccharide biosynthesis protein	
557963..560176	+	737	15900497	-	SP_0588	-	COG1185J	polynucleotide phosphorylase	
1831896..1833311	-	471	15901747	-	SP_1923	-	-	pneumolysin	
1369825..1370460	-	211	15901300	-	SP_1450	-	COG2755E	platelet activating factor	
871310..872026	-	238	15900797	-	SP_0917	-	COG3547L	pilin gene inverting-like protein	
1934138..1934566	-	142	15901849	-	SP_2028	-	COG0394T	phosphotyrosine protein phosphatase	
1032886..1033860	+	324	15900968	eutD	SP_1100	-	COG0280C	phosphotransacetylase	
1255327..1256136	-	269	15901185	-	SP_1331	-	COG1737K	phosphosugar-binding transcriptional regulator	
1575253..1576104	+	283	15901509	-	SP_1674	-	COG1737K	phosphosugar-binding transcriptional regulator	
81481..82185	+	234	15900020	-	SP_0075	-	COG2820F	phosphorylase Pnp/Udp family protein	
51908..52453	+	181	15899993	purN	SP_0048	-	COG0299F	phosphoribosylglycinamide formyltransferase	
45410..49135	+	1241	15899990	-	SP_0045	-	COG0046F	phosphoribosylformylglycinamidine synthase	
44501..45208	+	235	15899989	-	SP_0044	-	COG0152F	phosphoribosylaminoimidazole-succinocarboxamide synthase	
50889..51911	+	340	15899992	-	SP_0047	-	COG0150F	phosphoribosylaminoimidazole synthetase	
56405..56893	+	162	15899998	-	SP_0053	-	COG0041F	phosphoribosylaminoimidazole carboxylase catalytic subunit	
56880..57971	+	363	15899999	-	SP_0054	-	COG0026F	phosphoribosylaminoimidazole carboxylase ATPase subunit	
54740..56002	+	420	15899996	-	SP_0051	-	COG0151F	phosphoribosylamine--glycine ligase	
1061773..1063077	+	434	15900994	eno	SP_1128	-	COG0148G	phosphopyruvate hydratase	
778426..779637	+	403	15900716	-	SP_0829	-	COG1015G	phosphopentomutase	
1164319..1164870	+	183	15901093	-	SP_1231	-	COG0452H	phosphopantothenoylcysteine decarboxylase	
1163618..1164307	+	229	15901092	-	SP_1230	-	COG0452H	phosphopantothenate--cysteine ligase	
1875870..1876358	-	162	15901791	coaD	SP_1968	-	COG0669H	phosphopantetheine adenylyltransferase	
363118..364125	+	335	15900306	-	SP_0383	-	COG1577I	phosphomevalonate kinase	
690468..691259	-	263	15900623	-	SP_0726	-	COG0351H	phosphomethylpyrimidine kinase	
1501673..1502446	-	257	15901438	-	SP_1598	-	COG0351H	phosphomethylpyrimidine kinase	
1557230..1557922	-	230	15901490	gpmA	SP_1655	-	COG0588G	phosphoglyceromutase	
209957..210649	+	230	15900176	-	SP_0240	-	COG0406G	phosphoglycerate mutase	
929276..929896	-	206	15900859	-	SP_0984	-	COG0406G	phosphoglycerate mutase	
481598..482794	+	398	15900413	pgk	SP_0499	-	COG0126G	phosphoglycerate kinase	
1468038..1469390	-	450	15901402	glmM	SP_1559	-	COG1109G	phosphoglucosamine mutase	
1406020..1407738	+	572	15901345	-	SP_1498	-	COG1109G	phosphoglucomutase	
1113578..1115311	-	577	15901041	-	SP_1176	-	COG1080G	phosphoenolpyruvate-protein phosphotransferase	
1002527..1005223	+	898	15900937	-	SP_1068	-	COG2352C	phosphoenolpyruvate carboxylase	
1115317..1115580	-	87	15901042	-	SP_1177	-	COG1925G	phosphocarrier protein HPr	
309134..310114	+	326	15900268	mraY	SP_0337	-	COG0472M	phospho-N-acetylmuramoyl-pentapeptide-transferase	
1604487..1605518	-	343	15901534	-	SP_1700	-	COG0722E	phospho-2-dehydro-3-deoxyheptonate aldolase	
1605520..1606551	-	343	15901535	-	SP_1701	-	COG0722E	phospho-2-dehydro-3-deoxyheptonate aldolase	
234149..234952	+	267	15900196	-	SP_0262	-	COG0575I	phosphatidate cytidylyltransferase	
1319684..1320442	-	252	15901250	-	SP_1396	-	COG1117P	phosphate transporter ATP-binding protein	
1320455..1321258	-	267	15901251	-	SP_1397	-	COG1117P	phosphate transporter ATP-binding protein	
1996113..1996865	+	250	15901903	-	SP_2087	-	COG1117P	phosphate transporter ATP-binding protein	
1319019..1319672	-	217	15901249	-	SP_1395	-	COG0704P	phosphate transport system regulatory protein PhoU	
1741511..1742152	-	213	15901659	-	SP_1830	-	COG0704P	phosphate transport system regulatory protein PhoU	
1996880..1997530	+	216	15901904	-	SP_2088	-	COG0704P	phosphate transport system regulatory protein PhoU	
1323060..1323938	-	292	15901254	-	SP_1400	-	COG0226P	phosphate ABC transporter substrate-binding protein	
1993447..1994322	+	291	15901900	-	SP_2084	-	COG0226P	phosphate ABC transporter substrate-binding protein	
1321269..1322153	-	294	15901252	-	SP_1398	-	COG0581P	phosphate ABC transporter permease	
1995296..1996111	+	271	15901902	-	SP_2086	-	COG0581P	phosphate ABC transporter permease	
1322143..1323060	-	305	15901253	-	SP_1399	-	COG0573P	phosphate ABC transporter permease	
1994440..1995303	+	287	15901901	-	SP_2085	-	COG0573P	phosphate ABC transporter permease	
1636675..1637415	-	246	15901565	-	SP_1733	-	COG0631T	phosphatase	
896905..897873	+	322	15900827	-	SP_0948	-	COG1702T	PhoH family protein	
1505526..1505864	-	112	15901442	-	SP_1602	-	COG2824P	phnA protein	
549401..551806	+	801	15900491	pheT	SP_0581	-	COG0072J	phenylalanyl-tRNA synthetase subunit beta	
547769..548815	+	348	15900489	pheS	SP_0579	-	COG0016J	phenylalanyl-tRNA synthetase subunit alpha	
487391..488188	+	265	15900420	-	SP_0506	-	COG4974L	phage integrase family integrase/recombinase	
838526..839491	+	321	15900773	-	SP_0890	-	COG4974L	phage integrase family integrase/recombinase	
1063231..1064394	-	387	15900995	-	SP_1129	-	COG0582L	phage integrase family integrase/recombinase	
4382..4951	+	189	15899954	-	SP_0005	-	COG0193J	peptidyl-tRNA hydrolase	
1392101..1393492	-	463	15901329	-	SP_1479	-	COG0726G	peptidoglycan N-acetylglucosamine deacetylase A	
507723..507851	-	42	15900442	-	SP_0528	-	-	peptide pheromone BlpC	
1372898..1373509	+	203	15901306	def	SP_1456	-	COG0242J	peptide deformylase	
1456975..1457385	-	136	15901392	-	SP_1549	-	COG0242J	peptide deformylase	
412442..413986	+	514	15900357	prfC	SP_0439	-	COG4108J	peptide chain release factor 3	
713703..714798	+	364	118090032	prfB	SP_0755	-	COG1186J	peptide chain release factor 2	
963452..964531	+	359	15900891	prfA	SP_1020	-	COG0216J	peptide chain release factor 1	
952471..953694	-	407	15900880	-	SP_1008	-	COG2195E	peptidase T	
179701..180762	+	353	15900124	-	SP_0187	-	COG0006E	peptidase M24 family protein	
306880..309132	+	750	15900267	-	SP_0336	-	COG0768M	penicillin-binding protein 2X	
1572996..1575038	-	680	15901508	-	SP_1673	-	COG0768M	penicillin-binding protein 2B	
1915717..1917912	-	731	15901833	-	SP_2010	-	COG0744M	penicillin-binding protein 2A	
2006701..2009166	-	821	15901914	-	SP_2099	-	COG0744M	penicillin-binding protein 1B	
346853..349012	-	719	15900292	-	SP_0369	-	COG0744M	penicillin-binding protein 1A	
468104..468754	+	216	15900403	-	SP_0489	-	COG0671I	PAP2 family protein	
1826900..1827403	-	167	15901740	-	SP_1916	-	COG0671I	PAP2 family protein	
786690..787610	-	306	15900726	-	SP_0839	-	COG1072H	pantothenate kinase	
1509747..1510850	-	367	15901448	-	SP_1608	-	COG0665E	"oxidoreductase, DadA family protein"	
572806..574008	-	400	15900514	-	SP_0606	-	COG4097P	oxidoreductase	
1384810..1386054	+	414	15901322	-	SP_1472	-	COG2461S	oxidoreductase	
1384186..1384791	+	201	15901321	-	SP_1471	-	COG0431R	oxidoreductase	
1491539..1492765	-	408	15901429	-	SP_1587	-	COG2223P	oxalate:formate antiporter	
1879925..1880851	+	308	15901798	-	SP_1975	-	COG0706U	OxaA-like protein precursor	
668161..668862	+	233	15900600	-	SP_0701	-	COG0284F	orotidine 5'-phosphate decarboxylase	
668896..669528	+	210	15900601	pyrE	SP_0702	-	COG0461F	orotate phosphoribosyltransferase	
2063431..2064447	+	338	15901962	-	SP_2150	-	COG0078E	ornithine carbamoyltransferase	
1793113..1794039	-	308	15901716	-	SP_1889	-	COG1173EP	oligopeptide ABC transporter permease AmiD	
1794039..1795535	-	498	15901717	-	SP_1890	-	COG0601EP	oligopeptide ABC transporter permease AmiC	
1795602..1797581	-	659	15901718	-	SP_1891	-	COG4166E	oligopeptide ABC transporter oligopeptide-binding protein AmiA	
1437536..1439494	-	652	15901372	-	SP_1527	-	COG4166E	oligopeptide ABC transporter oligopeptide-binding protein AliB	
339096..341081	+	661	15900290	-	SP_0366	-	COG4166E	oligopeptide ABC transporter oligopeptide-binding protein AliA	
1791100..1792026	-	308	15901714	-	SP_1887	-	COG1123R	oligopeptide ABC transporter ATP-binding protein AmiF	
1792037..1793104	-	355	15901715	-	SP_1888	-	COG0444EP	oligopeptide ABC transporter ATP-binding protein AmiE	
924531..926333	+	600	15900856	-	SP_0979	-	COG1164E	oligoendopeptidase F	
1697768..1699564	-	598	15901609	-	SP_1780	-	COG1164E	oligoendopeptidase F	
926335..927048	+	237	15900857	-	SP_0980	-	COG4122R	O-methyltransferase	
1862121..1862534	-	137	15901782	ndk	SP_1959	-	COG0105F	nucleoside diphosphate kinase	
1115931..1116149	+	72	15901043	-	SP_1178	-	COG0695O	NrdH-redoxin	
1478053..1478589	-	178	15901415	-	SP_1572	-	COG0783P	non-heme iron-containing ferritin	
1324512..1325816	-	434	15901256	-	SP_1402	-	COG0144J	NOL1/NOP2/sun family protein	
589567..590172	+	201	15900530	-	SP_0622	-	COG0778C	nitroreductase	
1614075..1614788	-	237	15901544	-	SP_1710	-	COG0778C	nitroreductase	
816805..817245	+	146	15900753	-	SP_0870	-	COG0822C	NifU family protein	
2108829..2109785	+	318	15901996	-	SP_2189	-	COG0042J	NifR3 family TIM-barrel protein	
1649211..1649840	-	209	15901579	nadD	SP_1747	-	COG1057H	nicotinic acid mononucleotide adenylyltransferase	
1922125..1922997	-	290	15901839	-	SP_2016	-	COG0157H	nicotinate-nucleotide pyrophosphorylase	
1341630..1343090	-	486	15901274	-	SP_1421	-	COG1488H	nicotinate phosphoribosyltransferase	
1587143..1589236	-	697	15901522	-	SP_1687	-	COG4409G	neuraminidase B	
1249409..1251631	-	740	15901180	-	SP_1326	-	COG4409G	neuraminidase	
1381530..1382909	-	459	15901319	-	SP_1469	-	COG0446R	NADH oxidase	
1998790..1999806	+	338	15901906	gpsA	SP_2091	-	COG0240C	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	
1773388..1774089	+	233	15901695	-	SP_1867	-	COG1087M	NAD-dependent epimerase/dehydratase	
1046918..1048876	+	652	15900984	ligA	SP_1117	-	COG0272L	NAD-dependent DNA ligase LigA	
1340809..1341633	-	274	15901273	nadE	SP_1420	-	COG0171H	NAD synthetase	
474605..476236	-	543	15900410	-	SP_0496	-	COG1283P	Na/Pi cotransporter II-like protein	
1253679..1254596	-	305	15901183	-	SP_1329	-	COG0329EM	N-acetylneuraminate lyase	
1577022..1577939	-	305	15901511	-	SP_1676	-	COG0329EM	N-acetylneuraminate lyase	
1254621..1255322	-	233	15901184	-	SP_1330	-	COG3010G	N-acetylmannosamine-6-phosphate 2-epimerase	
1585156..1585854	-	232	15901520	-	SP_1685	-	COG3010G	N-acetylmannosamine-6-phosphate 2-epimerase	
1956389..1957540	-	383	15901876	-	SP_2056	-	COG1820G	N-acetylglucosamine-6-phosphate deacetylase	
1726402..1727001	-	199	15901642	-	SP_1813	-	COG0135E	N-(5'-phosphoribosyl)anthranilate isomerase	
122320..122775	+	151	15900061	-	SP_0119	-	COG1051F	MutT/nudix family protein	
702268..702723	-	151	15900635	-	SP_0740	-	COG1051F	MutT/nudix family protein	
747422..747922	+	166	15900687	-	SP_0794	-	COG1051F	MutT/nudix family protein	
1166750..1167217	-	155	15901097	-	SP_1235	-	COG1051F	MutT/nudix family protein	
1569115..1569726	-	203	15901504	-	SP_1669	-	COG1051F	MutT/nudix family protein	
1701406..1701834	-	142	15901612	-	SP_1783	-	COG1051F	MutT/nudix family protein	
768665..769087	-	140	15900706	-	SP_0817	-	COG0494LR	MutT/nudix family protein	
933648..934193	+	181	15900864	-	SP_0989	-	COG0494LR	MutT/nudix family protein	
384994..387330	+	778	15900325	-	SP_0406	-	COG1193L	MutS2 family protein	
1104364..1104828	-	154	15901033	-	SP_1168	-	COG1051F	mutator MutT protein	
918103..919302	+	399	15900849	-	SP_0972	-	COG2814G	multi-drug resistance efflux pump	
1806745..1807605	+	286	15901726	-	SP_1899	-	COG2207K	msm operon regulatory protein	
1820362..1821984	-	540	15901732	groEL	SP_1906	-	COG0459O	molecular chaperone GroEL	
497485..499308	+	607	15900431	dnaK	SP_0517	-	COG0443O	molecular chaperone DnaK	
500067..501203	+	378	15900433	-	SP_0519	-	COG0484O	molecular chaperone DnaJ	
1733540..1734250	-	236	15901652	-	SP_1823	-	COG1285S	MgtC/SapB family protein	
361318..362196	+	292	15900304	-	SP_0381	-	COG1577I	mevalonate kinase	
173820..174851	-	343	15900119	-	SP_0182	-	COG1619V	methylcrotonoyl-CoA carboxylase	
1377651..1378181	-	176	15901313	-	SP_1463	-	COG0350L	methylated-DNA--protein-cysteine S-methyltransferase	
741785..743782	+	665	15900681	metG	SP_0788	-	COG0143J	methionyl-tRNA synthetase	
1638736..1639671	-	311	15901567	fmt	SP_1735	-	COG0223J	methionyl-tRNA formyltransferase	
1020331..1021191	+	286	15900953	-	SP_1084	-	COG0024J	methionine aminopeptidase	
914849..915346	+	165	15900844	-	SP_0967	-	COG0319R	metalloprotease	
125051..126730	-	559	15900063	-	SP_0121	-	COG0595R	metallo-beta-lactamase superfamily protein	
579849..581510	+	553	15900521	-	SP_0613	-	COG0595R	metallo-beta-lactamase superfamily protein	
1544932..1545561	+	209	15901482	-	SP_1646	-	COG0491R	metallo-beta-lactamase superfamily protein	
10531..11808	+	425	15899960	-	SP_0011	-	COG0037D	MesJ/Ycf62 family protein	
483534..483890	+	118	15900415	-	SP_0501	-	COG0789K	MerR family transcriptional regulator	
701499..702239	+	246	15900634	-	SP_0739	-	COG0789K	MerR family transcriptional regulator	
1763982..1764335	-	117	15901684	-	SP_1856	-	COG0789K	MerR family transcriptional regulator	
1653033..1653638	-	201	15901584	-	SP_1752	-	COG0668M	mechanosensitive ion channel MscS	
1841737..1843107	-	456	15901763	-	SP_1939	-	COG0534V	MATE efflux family protein DinF	
1101437..1102798	-	453	15901031	-	SP_1166	-	COG0534V	MATE efflux family protein	
1965536..1966771	-	411	15901884	-	SP_2065	-	COG0534V	MATE efflux family protein	
395224..395658	+	144	15900335	-	SP_0416	-	COG1846K	MarR family transcriptional regulator	
1770480..1770923	-	147	15901691	-	SP_1863	-	COG1846K	MarR family transcriptional regulator	
1829726..1830175	-	149	15901744	-	SP_1920	-	COG1846K	MarR family transcriptional regulator	
1962886..1963311	-	141	15901882	-	SP_2062	-	COG1846K	MarR family transcriptional regulator	
698940..699884	+	314	15900631	-	SP_0736	-	COG1482G	mannose-6-phosphate isomerase	
376559..377695	+	378	15900317	-	SP_0397	-	COG0246G	mannitol-1-phosphate 5-dehydrogenase	
1444442..1445377	-	311	15901378	-	SP_1534	-	COG1227C	manganese-dependent inorganic pyrophosphatase	
1548586..1549434	+	282	118090037	-	SP_1649	-	COG1108P	manganese ABC transporter permease	
1549466..1550395	+	309	15901485	-	SP_1650	-	COG0803P	manganese ABC transporter manganese-binding adhesion liprotein	
1547867..1548589	+	240	15901484	-	SP_1648	-	COG1121P	manganese ABC transporter ATP-binding protein	
2020750..2022021	+	423	15901923	-	SP_2108	-	COG2182G	maltose/maltodextrin ABC transporter maltose/maltodextrin-binding protein	
2025331..2026317	+	328	15901927	-	SP_2112	-	COG1609K	maltose operon transcriptional repressor	
2023426..2024268	+	280	15901925	-	SP_2110	-	COG3833G	maltodextrin ABC transporter permease	
2022117..2023424	+	435	15901924	-	SP_2109	-	COG1175G	maltodextrin ABC transporter permease	
2024521..2025321	+	266	15901926	-	SP_2111	-	COG5521S	malA protein	
1652068..1652976	-	302	15901583	-	SP_1751	-	COG0598P	magnesium/cobalt transporter CorA	
175801..176745	-	314	15900122	-	SP_0185	-	COG0598P	magnesium transporter CorA family protein	
163632..164810	+	392	15900106	-	SP_0168	-	COG0474P	macrolide efflux protein	
2003599..2004729	-	376	15901911	-	SP_2096	-	COG1473R	M20/M25/M40 family peptidase	
2141764..2143047	-	427	15902028	-	SP_2224	-	COG0612R	M16 family peptidase	
676624..678099	+	491	255964979	lysS	SP_0713	-	COG1190J	lysyl-tRNA synthetase	
879942..880850	+	302	15900807	-	SP_0927	-	COG0583K	LysR family transcriptional regulator	
1479067..1480539	-	490	118090031	lytC	SP_1573	-	COG5263R	lysozyme	
109404..109991	+	195	15900050	-	SP_0107	-	COG1388M	LysM domain-containing protein	
1963634..1964746	-	370	118090038	-	SP_2063	-	-	LysM domain-containing protein	
869869..871344	+	491	15900796	-	SP_0916	-	COG1982E	lysine decarboxylase	
880847..881308	+	153	15900808	-	SP_0928	-	COG0597MU	lipoprotein signal peptidase	
791420..792472	+	350	15900732	-	SP_0845	-	COG1744R	lipoprotein	
146497..147351	+	284	15900087	-	SP_0149	-	COG1464P	lipoprotein	
1095244..1096233	-	329	15901025	-	SP_1160	-	COG0095H	lipoate-protein ligase	
1290064..1290909	-	281	15901221	-	SP_1367	-	COG3475M	licD3 protein	
1207055..1207864	+	269	15901134	-	SP_1274	-	COG3475M	licD2 protein	
1206250..1207053	+	267	15901133	-	SP_1273	-	COG3475M	licD1 protein	
1200228..1200917	-	229	15901127	-	SP_1267	-	COG4750M	licC protein	
1200929..1201807	-	292	15901128	-	SP_1268	-	COG2510S	licB protein	
224752..227253	+	833	15900189	leuS	SP_0254	-	COG0495J	leucyl-tRNA synthetase	
954985..955362	-	125	15900882	-	SP_1010	-	COG1970M	large conductance mechanosensitive channel protein MscL	
908574..908954	+	126	15900839	-	SP_0962	-	COG0346E	lactoylglutathione lyase	
822707..823447	+	246	15900758	-	SP_0875	-	COG1349KG	lactose phosphotransferase system repressor	
1119827..1120588	+	253	15901047	-	SP_1182	-	COG1349KG	lactose phosphotransferase system repressor	
680430..681566	+	378	15900612	-	SP_0715	-	COG1304C	lactate oxidase	
1715315..1716316	-	333	15901628	-	SP_1799	-	COG1609K	LacI family transcriptional regulator	
1731967..1732968	-	333	15901650	-	SP_1821	-	COG1609K	LacI family transcriptional regulator	
1940879..1941742	-	287	15901855	-	SP_2034	-	COG3623G	L-xylulose 5-phosphate 3-epimerase	
108491..109162	-	223	15900049	-	SP_0106	-	COG1760E	"L-serine dehydratase, iron-sulfur-dependent subunit beta"	
107610..108482	-	290	15900048	-	SP_0105	-	COG1760E	"L-serine dehydratase, iron-sulfur-dependent subunit alpha"	
